DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
232012425;07/04/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/04/2023 12:00:00 AM;1300
242004657;01/18/2024 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;01/14/2023 12:00:00 AM;1800
232010007;05/10/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/10/2023 12:00:00 AM;1724
232010910;05/30/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;05/29/2023 12:00:00 AM;2030
232012673;07/10/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/10/2023 12:00:00 AM;830
232011997;06/24/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;06/24/2023 12:00:00 AM;1330
232017232;10/28/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;10/28/2023 12:00:00 AM;1800
232015473;09/15/2023 12:00:00 AM;Olympic    ;OTHER MISCELLANEOUS CRIME                               ;09/15/2023 12:00:00 AM;1345
232009326;05/06/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;05/05/2023 12:00:00 AM;1600
232017653;11/06/2023 12:00:00 AM;Olympic    ;TRESPASSING                                             ;11/03/2023 12:00:00 AM;1640
232010480;05/20/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/20/2023 12:00:00 AM;2255
232012342;07/02/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/02/2023 12:00:00 AM;500
232019011;12/10/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;12/10/2023 12:00:00 AM;502
232008480;04/19/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;04/19/2023 12:00:00 AM;955
232017233;10/27/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;10/27/2023 12:00:00 AM;2100
232013880;08/09/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/09/2023 12:00:00 AM;110
232005568;02/10/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;02/08/2023 12:00:00 AM;1300
232014583;07/04/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;07/04/2023 12:00:00 AM;1211
232019222;12/15/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;11/24/2023 12:00:00 AM;1500
232016335;10/08/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;10/08/2023 12:00:00 AM;2150
242004752;12/29/2023 12:00:00 AM;Olympic    ;BIKE - STOLEN                                           ;12/29/2023 12:00:00 AM;1645
232017528;11/02/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;11/02/2023 12:00:00 AM;2230
