DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
210505050;01/04/2021 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;12/29/2020 12:00:00 AM;1600
200517620;12/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;11/05/2020 12:00:00 AM;900
200506728;03/04/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;03/04/2020 12:00:00 AM;930
200510510;06/11/2020 12:00:00 AM;Harbor     ;RESISTING ARREST                                        ;06/11/2020 12:00:00 AM;1745
200504784;01/19/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;01/19/2020 12:00:00 AM;115
200506070;02/18/2020 12:00:00 AM;Harbor     ;BIKE - STOLEN                                           ;02/17/2020 12:00:00 AM;1600
200515571;10/20/2020 12:00:00 AM;Harbor     ;TILL TAP - GRAND THEFT ($950.01 & OVER)                 ;10/19/2020 12:00:00 AM;1445
200506626;03/02/2020 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;02/28/2020 12:00:00 AM;1830
200506623;03/02/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;03/01/2020 12:00:00 AM;1230
200506397;02/26/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;02/25/2020 12:00:00 AM;1730
200515196;10/12/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;10/12/2020 12:00:00 AM;1900
200509190;05/08/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;05/08/2020 12:00:00 AM;240
200510802;06/19/2020 12:00:00 AM;Harbor     ;ARSON                                                   ;06/19/2020 12:00:00 AM;510
200511656;07/10/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;07/10/2020 12:00:00 AM;930
200511868;07/15/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/11/2020 12:00:00 AM;1900
200512783;08/08/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;08/08/2020 12:00:00 AM;2120
200512754;08/08/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/08/2020 12:00:00 AM;120
200510842;06/21/2020 12:00:00 AM;Harbor     ;TRESPASSING                                             ;06/21/2020 12:00:00 AM;640
200500577;03/10/2020 12:00:00 AM;Harbor     ;TRESPASSING                                             ;03/10/2020 12:00:00 AM;1900
200504465;01/10/2020 12:00:00 AM;Harbor     ;OTHER ASSAULT                                           ;01/10/2020 12:00:00 AM;1440
200517972;12/18/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;06/03/2020 12:00:00 AM;1200
200515050;10/09/2020 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;10/05/2020 12:00:00 AM;1200
210508506;04/29/2021 12:00:00 AM;Harbor     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;03/01/2020 12:00:00 AM;600
200508713;04/26/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;04/18/2020 12:00:00 AM;1500
200513050;08/16/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/16/2020 12:00:00 AM;1500
200515253;10/14/2020 12:00:00 AM;Harbor     ;OTHER MISCELLANEOUS CRIME                               ;10/14/2020 12:00:00 AM;602
200515482;10/19/2020 12:00:00 AM;Harbor     ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;08/15/2020 12:00:00 AM;1200
200508364;04/17/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;04/17/2020 12:00:00 AM;1200
