DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200304583;01/10/2020 12:00:00 AM;Southwest  ;VIOLATION OF RESTRAINING ORDER                          ;01/10/2020 12:00:00 AM;705
200315476;08/09/2020 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;08/09/2020 12:00:00 AM;1515
200321584;12/11/2020 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;900
200310106;04/19/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;04/16/2020 12:00:00 AM;1600
200321313;12/06/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;12/06/2020 12:00:00 AM;1530
200321746;12/14/2020 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;11/24/2020 12:00:00 AM;1355
200319565;10/29/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;10/29/2020 12:00:00 AM;1600
200316589;08/31/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;08/31/2020 12:00:00 AM;1245
200305025;01/18/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;01/18/2020 12:00:00 AM;1400
200321294;12/05/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;12/05/2020 12:00:00 AM;1230
200322296;12/26/2020 12:00:00 AM;Southwest  ;OTHER ASSAULT                                           ;12/26/2020 12:00:00 AM;1900
200304189;01/02/2020 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;01/02/2020 12:00:00 AM;100
200310416;04/24/2020 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;04/16/2020 12:00:00 AM;900
200304700;01/12/2020 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;01/12/2020 12:00:00 AM;2030
200317571;09/19/2020 12:00:00 AM;Southwest  ;ROBBERY                                                 ;09/19/2020 12:00:00 AM;1040
200319472;10/27/2020 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;10/27/2020 12:00:00 AM;1330
200313632;07/01/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;06/30/2020 12:00:00 AM;2030
200314858;07/28/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;07/27/2020 12:00:00 AM;2130
200315958;08/18/2020 12:00:00 AM;Southwest  ;FAILURE TO YIELD                                        ;08/18/2020 12:00:00 AM;12
200313281;06/27/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;06/26/2020 12:00:00 AM;2305
